codec,dataset,column,N,raw_bytes,compressed_bytes,ratio,encode_ms,decode_ms,encode_mbs,decode_mbs,max_error,query_mean_us,query_ds_us,query_gorilla_us,query_lz4_us,query_zstd_us,query_min_us,query_max_us,query_sum_us,query_count_us,query_var_us,query_where_us,query_value_at_us,query_scan_us
striq-e0.01,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1306372,2.5754,9.6147,0.1250,349.92,26915.26,0.010000,0.40,331.20,0.00,0.00,0.00,0.30,0.20,0.40,0.20,11.70,812.90,4.70,9.90
gorilla,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,2767673,1.2156,45.3990,18.9840,74.11,177.22,0.000000,0.00,0.00,31423.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1577950,2.1321,5.5697,0.9667,604.06,3480.42,0.000000,0.00,0.00,0.00,993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1073520,3.1340,16.2433,3.2210,207.13,1044.52,0.000000,0.00,0.00,0.00,0.00,3300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"wv (m/s)",420551,3364408,1314558,2.5593,73.6063,0.0783,45.71,42949.89,0.010000,0.40,334.70,0.00,0.00,0.00,0.30,0.20,0.30,0.20,8.20,847.50,4.70,9.00
lz4,jena_climate_2009_2016,"wv (m/s)",420551,3364408,1508891,2.2297,5.1203,9.3850,657.07,358.49,0.000000,0.00,0.00,0.00,3944.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"wv (m/s)",420551,3364408,769164,4.3741,13.1847,3.2817,255.18,1025.21,0.000000,0.00,0.00,0.00,0.00,3528.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,1314563,2.5593,5.9263,0.0710,567.70,47386.03,0.010000,0.40,328.70,0.00,0.00,0.00,0.20,0.20,0.40,0.10,19.60,780.60,4.70,8.50
gorilla,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,3330710,1.0101,43.4227,26.7030,77.48,125.99,0.000000,0.00,0.00,15382.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,1454939,2.3124,5.4360,0.9113,618.91,3691.74,0.000000,0.00,0.00,0.00,910.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,720092,4.6722,18.6980,9.7060,179.93,346.63,0.000000,0.00,0.00,0.00,0.00,4068.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"wd (deg)",420551,3364408,2139074,1.5728,6.3040,0.0770,533.69,43693.61,0.010000,0.40,361.60,0.00,0.00,0.00,1.60,0.20,0.40,0.10,12.10,835.70,5.10,8.90
lz4,jena_climate_2009_2016,"wd (deg)",420551,3364408,1695514,1.9843,20.6813,1.0770,162.68,3123.87,0.000000,0.00,0.00,0.00,1044.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"wd (deg)",420551,3364408,1085776,3.0986,15.9680,3.3367,210.70,1008.31,0.000000,0.00,0.00,0.00,0.00,3277.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,slow_sine,50000,400000,173774,2.3018,6.6007,0.1203,60.60,3324.10,0.010000,0.10,52.40,0.00,0.00,0.00,0.10,0.00,0.10,0.00,3.70,137.40,2.00,16.30
gorilla,synthetic,slow_sine,50000,400000,343445,1.1647,11.2407,1.8767,35.59,213.14,0.000000,0.00,0.00,1784.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,slow_sine,50000,400000,183724,2.1772,0.6860,0.1060,583.09,3773.58,0.000000,0.00,0.00,0.00,90.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,slow_sine,50000,400000,46003,8.6951,0.7303,0.2523,547.70,1585.20,0.000000,0.00,0.00,0.00,0.00,237.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,ramp,50000,400000,55095,7.2602,1.0553,0.0520,379.03,7692.31,0.010000,0.20,9.60,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.50,0.40,0.90,7.20
gorilla,synthetic,ramp,50000,400000,335829,1.1911,5.5450,1.5400,72.14,259.74,0.000000,0.00,0.00,1592.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,ramp,50000,400000,208942,1.9144,0.4997,0.1037,800.53,3858.52,0.000000,0.00,0.00,0.00,104.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,ramp,50000,400000,67860,5.8945,0.8990,0.3713,444.94,1077.20,0.000000,0.00,0.00,0.00,0.00,367.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,noise,50000,400000,155642,2.5700,0.7713,0.0557,518.58,7185.63,0.010000,0.10,16.70,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.80,70.70,1.90,11.30
lz4,synthetic,noise,50000,400000,401570,0.9961,0.0183,0.0063,21818.18,63157.90,0.000000,0.00,0.00,0.00,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,noise,50000,400000,375993,1.0638,0.3947,0.3317,1013.51,1206.03,0.000000,0.00,0.00,0.00,0.00,327.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,STATION,10328,82624,11670,7.0800,0.5367,0.0513,153.96,1609.56,0.010000,0.00,3.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,50.70,13.00,2.10,5.80
gorilla,noaa_gsod,STATION,10328,82624,1447,57.1002,0.0087,0.0087,9533.54,9533.54,0.000000,0.00,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,STATION,10328,82624,455,181.5912,0.0047,0.0053,17705.14,15492.00,0.000000,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,STATION,10328,82624,136,607.5294,0.0193,0.0080,4273.66,10328.00,0.000000,0.00,0.00,0.00,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,TEMP,10328,82624,32261,2.5611,0.3957,0.0500,208.82,1652.48,0.010000,0.00,8.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.20,19.40,3.80,7.70
gorilla,noaa_gsod,TEMP,10328,82624,79156,1.0438,0.9243,0.1650,89.39,500.75,0.000000,0.00,0.00,153.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,TEMP,10328,82624,36435,2.2677,0.1187,0.0247,696.27,3349.62,0.000000,0.00,0.00,0.00,20.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,TEMP,10328,82624,22115,3.7361,0.2187,0.0810,377.85,1020.05,0.000000,0.00,0.00,0.00,0.00,77.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,DEWP,10328,82624,32261,2.5611,0.4233,0.0513,195.17,1609.56,0.010000,0.10,8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,19.20,3.80,7.00
lz4,noaa_gsod,DEWP,10328,82624,36327,2.2745,0.1980,0.0230,417.29,3592.35,0.000000,0.00,0.00,0.00,22.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,DEWP,10328,82624,22086,3.7410,0.2433,0.0820,339.55,1007.61,0.000000,0.00,0.00,0.00,0.00,83.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,SLP,10328,82624,32260,2.5612,0.4307,0.0550,191.85,1502.25,0.010000,0.10,8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,19.30,4.00,7.40
gorilla,noaa_gsod,SLP,10328,82624,70244,1.1762,0.7487,0.3277,110.36,252.16,0.000000,0.00,0.00,355.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,SLP,10328,82624,32453,2.5460,0.1060,0.0210,779.47,3934.48,0.000000,0.00,0.00,0.00,20.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,SLP,10328,82624,20824,3.9677,0.1990,0.0767,415.20,1077.70,0.000000,0.00,0.00,0.00,0.00,75.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,VISIB,10328,82624,21937,3.7664,0.4457,0.0530,185.39,1558.94,0.010000,0.10,10.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,20.50,4.40,7.80
gorilla,noaa_gsod,VISIB,10328,82624,47205,1.7503,0.4923,0.2287,167.82,361.33,0.000000,0.00,0.00,244.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,VISIB,10328,82624,20772,3.9777,0.1017,0.0213,812.70,3873.00,0.000000,0.00,0.00,0.00,17.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,VISIB,10328,82624,9895,8.3501,0.1287,0.0633,642.16,1304.59,0.000000,0.00,0.00,0.00,0.00,56.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,WDSP,10328,82624,32261,2.5611,0.6847,0.0507,120.68,1630.74,0.010000,0.00,8.20,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,19.10,3.90,7.10
gorilla,noaa_gsod,WDSP,10328,82624,71069,1.1626,0.7213,0.3233,114.54,255.54,0.000000,0.00,0.00,358.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,WDSP,10328,82624,31451,2.6271,0.0953,0.0237,866.69,3491.15,0.000000,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,WDSP,10328,82624,17081,4.8372,0.1683,0.0827,490.84,999.48,0.000000,0.00,0.00,0.00,0.00,80.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MXSPD,10328,82624,30287,2.7280,0.6177,0.0507,133.77,1630.74,0.010000,0.00,20.80,0.00,0.00,0.00,0.10,0.00,0.00,0.00,67.80,32.70,8.30,11.40
gorilla,noaa_gsod,MXSPD,10328,82624,64010,1.2908,0.6500,0.3080,127.11,268.26,0.000000,0.00,0.00,318.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MXSPD,10328,82624,27670,2.9860,0.0793,0.0190,1041.48,4348.63,0.000000,0.00,0.00,0.00,19.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MXSPD,10328,82624,13616,6.0682,0.1457,0.0840,567.21,983.62,0.000000,0.00,0.00,0.00,0.00,78.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MAX,10328,82624,32260,2.5612,0.4177,0.0513,197.82,1609.56,0.010000,0.10,8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,17.70,3.80,7.00
gorilla,noaa_gsod,MAX,10328,82624,52060,1.5871,0.5407,0.2473,152.82,334.06,0.000000,0.00,0.00,289.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MAX,10328,82624,28437,2.9055,0.0973,0.0220,848.88,3755.64,0.000000,0.00,0.00,0.00,21.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MAX,10328,82624,16137,5.1202,0.1683,0.0850,490.84,972.05,0.000000,0.00,0.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MIN,10328,82624,32260,2.5612,0.4117,0.0497,200.71,1663.57,0.010000,0.00,9.70,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,18.20,4.10,7.60
gorilla,noaa_gsod,MIN,10328,82624,60676,1.3617,0.5923,0.0190,139.49,4348.63,0.000000,0.00,0.00,18.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MIN,10328,82624,28782,2.8707,0.0850,0.0200,972.05,4131.20,0.000000,0.00,0.00,0.00,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MIN,10328,82624,15940,5.1834,0.1543,0.0817,535.36,1011.72,0.000000,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,PRCP,10328,82624,32261,2.5611,0.4610,0.0503,179.23,1641.54,0.010000,0.00,8.90,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,39.10,4.20,7.30
gorilla,noaa_gsod,PRCP,10328,82624,33639,2.4562,0.4300,0.1647,192.15,501.77,0.000000,0.00,0.00,163.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,PRCP,10328,82624,14900,5.5452,0.0540,0.0190,1530.07,4348.63,0.000000,0.00,0.00,0.00,14.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,PRCP,10328,82624,7617,10.8473,0.0983,0.0483,840.24,1709.46,0.000000,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_active_power,500000,4000000,1553260,2.5752,8.0330,0.1367,497.95,29268.29,0.010000,0.40,373.20,0.00,0.00,0.00,0.30,0.30,0.40,0.10,23.50,883.20,3.40,11.60
gorilla,household_power_consumption,Global_active_power,500000,4000000,3194313,1.2522,67.6043,15.8010,59.17,253.15,0.000000,0.00,0.00,15492.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_active_power,500000,4000000,1459266,2.7411,5.5370,1.0370,722.41,3857.28,0.000000,0.00,0.00,0.00,1053.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_active_power,500000,4000000,785907,5.0897,9.1323,3.4830,438.00,1148.44,0.000000,0.00,0.00,0.00,0.00,3512.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_reactive_power,500000,4000000,1553262,2.5752,7.0300,0.0633,568.99,63157.89,0.010000,0.50,343.80,0.00,0.00,0.00,0.20,0.30,0.40,0.10,9.80,1147.40,3.00,11.30
gorilla,household_power_consumption,Global_reactive_power,500000,4000000,2354620,1.6988,48.1553,11.5837,83.06,345.31,0.000000,0.00,0.00,11644.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_reactive_power,500000,4000000,1078407,3.7092,3.9377,0.9993,1015.83,4002.67,0.000000,0.00,0.00,0.00,1021.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_reactive_power,500000,4000000,520164,7.6899,6.1683,3.0047,648.47,1331.26,0.000000,0.00,0.00,0.00,0.00,3012.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Voltage,500000,4000000,1553248,2.5752,6.8940,0.0737,580.21,54298.64,0.010000,0.50,364.60,0.00,0.00,0.00,0.20,0.20,0.40,0.20,11.40,888.70,4.30,13.30
gorilla,household_power_consumption,Voltage,500000,4000000,3194328,1.2522,46.5200,15.0397,85.98,265.96,0.000000,0.00,0.00,15087.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Voltage,500000,4000000,1790905,2.2335,6.3730,1.0533,627.65,3797.47,0.000000,0.00,0.00,0.00,1058.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Voltage,500000,4000000,1039032,3.8497,10.9323,3.4007,365.89,1176.24,0.000000,0.00,0.00,0.00,0.00,3429.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_intensity,500000,4000000,1417835,2.8212,6.7137,0.0613,595.80,65217.39,0.010000,0.50,376.70,0.00,0.00,0.00,0.20,0.30,0.40,0.10,11.00,912.70,3.80,13.90
gorilla,household_power_consumption,Global_intensity,500000,4000000,1516207,2.6382,14.6333,7.7197,273.35,518.16,0.000000,0.00,0.00,7747.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_intensity,500000,4000000,756414,5.2881,2.7020,0.9867,1480.38,4054.05,0.000000,0.00,0.00,0.00,986.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_intensity,500000,4000000,377626,10.5925,4.5780,2.5053,873.74,1596.59,0.000000,0.00,0.00,0.00,0.00,2510.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_1,500000,4000000,623955,6.4107,5.1260,0.0613,780.34,65217.39,0.010000,0.40,226.70,0.00,0.00,0.00,0.30,0.20,0.50,0.10,2625.30,787.70,1.80,9.30
gorilla,household_power_consumption,Sub_metering_1,500000,4000000,116232,34.4139,0.9923,0.5927,4030.90,6749.16,0.000000,0.00,0.00,607.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_1,500000,4000000,83684,47.7989,0.4293,0.2650,9316.77,15094.34,0.000000,0.00,0.00,0.00,268.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_1,500000,4000000,38871,102.9045,1.0770,1.1740,3714.02,3407.16,0.000000,0.00,0.00,0.00,0.00,1194.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_2,500000,4000000,829660,4.8213,6.7713,0.0633,590.73,63157.89,0.010000,0.50,483.20,0.00,0.00,0.00,0.30,0.20,0.40,0.20,2853.80,1173.90,1.30,9.20
gorilla,household_power_consumption,Sub_metering_2,500000,4000000,246396,16.2340,2.5363,1.3230,1577.08,3023.43,0.000000,0.00,0.00,1354.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_2,500000,4000000,228951,17.4710,0.8927,0.4610,4480.96,8676.79,0.000000,0.00,0.00,0.00,421.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_2,500000,4000000,114950,34.7977,2.0787,1.2563,1924.31,3183.87,0.000000,0.00,0.00,0.00,0.00,1310.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_3,500000,4000000,741392,5.3953,6.4723,0.0657,618.02,60913.71,0.010000,0.40,499.80,0.00,0.00,0.00,0.30,0.20,0.40,0.10,2857.00,1082.90,2.80,10.30
gorilla,household_power_consumption,Sub_metering_3,500000,4000000,240187,16.6537,1.8947,1.2833,2111.19,3116.88,0.000000,0.00,0.00,1308.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_3,500000,4000000,191071,20.9346,0.8733,0.4323,4580.15,9252.12,0.000000,0.00,0.00,0.00,421.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_3,500000,4000000,60336,66.2954,2.0517,1.1507,1949.63,3476.25,0.000000,0.00,0.00,0.00,0.00,1159.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,temp,48204,385632,158049,2.4400,0.9967,0.0547,386.92,7054.24,0.010000,0.10,35.20,0.00,0.00,0.00,0.00,0.10,0.10,0.00,1.00,84.60,6.20,7.00
gorilla,metro_traffic,temp,48204,385632,267950,1.4392,4.0743,1.2827,94.65,300.65,0.000000,0.00,0.00,1278.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,metro_traffic,temp,48204,385632,169687,2.2726,0.5060,0.1003,762.12,3843.51,0.000000,0.00,0.00,0.00,139.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,metro_traffic,temp,48204,385632,102820,3.7506,1.0487,0.3357,367.74,1148.85,0.000000,0.00,0.00,0.00,0.00,337.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,rain_1h,48204,385632,179471,2.1487,0.9967,0.0557,386.92,6927.52,0.010000,0.00,17.60,0.00,0.00,0.00,0.10,0.00,0.10,0.00,159.80,74.40,5.40,6.30
gorilla,metro_traffic,rain_1h,48204,385632,24161,15.9609,0.2747,0.1287,1404.00,2997.14,0.000000,0.00,0.00,117.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,metro_traffic,rain_1h,48204,385632,12910,29.8708,0.0560,0.0277,6886.29,13938.51,0.000000,0.00,0.00,0.00,22.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,metro_traffic,rain_1h,48204,385632,6926,55.6789,0.1333,0.1110,2892.24,3474.16,0.000000,0.00,0.00,0.00,0.00,102.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,snow_1h,48204,385632,53167,7.2532,0.6980,0.0563,552.48,6845.54,0.010000,0.00,12.60,0.00,0.00,0.00,0.10,0.00,0.10,0.00,236.70,64.00,4.90,5.90
gorilla,metro_traffic,snow_1h,48204,385632,6322,60.9984,0.0323,0.0273,11926.76,14108.49,0.000000,0.00,0.00,26.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,metro_traffic,snow_1h,48204,385632,1728,223.1667,0.0170,0.0437,22684.24,8831.27,0.000000,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,metro_traffic,snow_1h,48204,385632,222,1737.0811,0.0457,0.0727,8444.50,5306.86,0.000000,0.00,0.00,0.00,0.00,71.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,clouds_all,48204,385632,81882,4.7096,1.3157,0.0513,293.11,7512.31,0.010000,0.10,99.80,0.00,0.00,0.00,0.00,0.10,0.00,0.00,342.10,154.40,7.60,8.40
gorilla,metro_traffic,clouds_all,48204,385632,36482,10.5705,0.4517,0.2343,853.80,1645.66,0.000000,0.00,0.00,255.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,metro_traffic,clouds_all,48204,385632,57134,6.7496,0.2173,0.0823,1774.38,4683.79,0.000000,0.00,0.00,0.00,76.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,metro_traffic,clouds_all,48204,385632,25158,15.3284,0.3743,0.2117,1030.18,1821.88,0.000000,0.00,0.00,0.00,0.00,207.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,traffic_volume,48204,385632,149869,2.5731,0.9783,0.0560,394.17,6886.29,0.010000,0.10,34.10,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.90,84.30,6.10,7.10
gorilla,metro_traffic,traffic_volume,48204,385632,90086,4.2807,2.1033,0.4717,183.34,817.59,0.000000,0.00,0.00,473.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,metro_traffic,traffic_volume,48204,385632,166728,2.3129,0.5213,0.0977,739.70,3948.45,0.000000,0.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,metro_traffic,traffic_volume,48204,385632,98524,3.9141,1.1660,0.3820,330.73,1009.51,0.000000,0.00,0.00,0.00,0.00,387.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"p (mbar)",420551,3364408,980105,3.4327,5.7883,0.1087,581.24,30960.81,0.010000,0.40,351.70,0.00,0.00,0.00,0.20,0.30,0.30,0.20,8.40,767.40,4.60,8.80
gorilla,jena_climate_2009_2016,"p (mbar)",420551,3364408,2543459,1.3228,33.7073,12.1970,99.81,275.84,0.000000,0.00,0.00,12118.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"p (mbar)",420551,3364408,1413765,2.3798,5.2037,0.8977,646.55,3747.95,0.000000,0.00,0.00,0.00,919.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"p (mbar)",420551,3364408,837227,4.0185,8.9727,2.9517,374.96,1139.83,0.000000,0.00,0.00,0.00,0.00,2920.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"T (degC)",420551,3364408,1285893,2.6164,6.0123,0.0590,559.58,57023.87,0.010000,0.40,310.40,0.00,0.00,0.00,0.20,0.20,0.40,0.10,8.60,743.60,4.10,7.60
gorilla,jena_climate_2009_2016,"T (degC)",420551,3364408,3325987,1.0116,40.7347,0.0000,82.59,inf,0.000000,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"T (degC)",420551,3364408,1615090,2.0831,5.6527,0.9217,595.19,3650.35,0.000000,0.00,0.00,0.00,896.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"T (degC)",420551,3364408,873129,3.8533,9.0917,2.9543,370.05,1138.80,0.000000,0.00,0.00,0.00,0.00,2935.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"Tpot (K)",420551,3364408,1285893,2.6164,7.0173,0.0650,479.44,51760.12,0.010000,0.40,315.80,0.00,0.00,0.00,0.20,0.20,0.30,0.10,9.50,736.80,4.30,7.60
gorilla,jena_climate_2009_2016,"Tpot (K)",420551,3364408,2790696,1.2056,37.1723,13.2160,90.51,254.57,0.000000,0.00,0.00,13215.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"Tpot (K)",420551,3364408,1499348,2.2439,5.2653,0.8817,638.97,3815.96,0.000000,0.00,0.00,0.00,905.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"Tpot (K)",420551,3364408,887199,3.7922,9.3917,2.9307,358.23,1148.00,0.000000,0.00,0.00,0.00,0.00,2896.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
